ProductID,OutletID,OutletSales
FDW58,OUT049,1857.5
FDW14,OUT017,1466.0
NCN55,OUT010,1828.0
FDQ58,OUT017,2560.5
FDY38,OUT027,5050.0
FDH56,OUT046,2037.5
FDL48,OUT018,548.5
FDC48,OUT027,2694.0
FDN33,OUT045,1654.5
FDA36,OUT017,2961.5
FDT44,OUT017,1966.5
FDQ56,OUT045,1469.5
NCC54,OUT019,1857.5
FDU11,OUT049,2090.5
DRL59,OUT013,901.0
FDM24,OUT049,2474.5
FDI57,OUT045,3420.5
DRC12,OUT018,2762.0
NCM42,OUT027,3135.0
FDA46,OUT010,1167.5
FDA31,OUT013,2843.5
NCJ31,OUT035,3724.0
FDG52,OUT046,840.5
NCL19,OUT019,359.0
FDS10,OUT035,2939.5
FDX22,OUT010,1483.5
NCF19,OUT035,792.0
NCE06,OUT046,2592.0
DRC27,OUT046,3853.0
FDE21,OUT035,2010.0
NCR42,OUT019,1348.5
FDX51,OUT018,2929.5
NCR06,OUT018,422.0
FDU31,OUT027,4936.5
FDU59,OUT017,2696.5
FDR03,OUT027,4761.5
FDS49,OUT027,2774.0
FDD48,OUT010,127.0
NCF18,OUT017,3011.0
NCD43,OUT027,3040.0
NCD54,OUT018,1968.5
FDY19,OUT010,46.5
NCY54,OUT017,2723.5
NCL19,OUT018,1995.0
FDP23,OUT010,1574.5
FDC26,OUT013,1869.0
FDR14,OUT010,1101.0
NCS41,OUT035,2891.5
FDF41,OUT035,3837.5
FDU34,OUT046,2110.5
DRH11,OUT046,983.5
FDM03,OUT013,1795.0
FDS31,OUT017,2983.5
FDJ20,OUT017,2055.0
FDV44,OUT027,4484.5
FDG02,OUT049,3132.5
FDA09,OUT013,2957.5
FDT04,OUT013,631.0
FDL58,OUT019,2341.5
FDE52,OUT045,1462.0
FDW12,OUT035,2333.5
FDL51,OUT017,3376.0
NCY42,OUT027,3627.0
FDR07,OUT017,1632.5
FDN40,OUT045,2378.0
FDB35,OUT027,3041.5
FDA22,OUT017,3056.5
NCL06,OUT046,4150.0
FDI35,OUT013,3028.5
NCW42,OUT045,3473.0
NCX06,OUT049,2881.5
FDC37,OUT027,3110.5
FDZ14,OUT018,1664.0
DRG49,OUT049,3927.0
NCG06,OUT045,4017.0
DRC36,OUT045,2808.0
FDV21,OUT019,135.5
FDB53,OUT046,2337.0
DRP47,OUT019,2026.5
FDA14,OUT013,2307.0
DRC24,OUT035,2450.0
FDW21,OUT018,1458.5
NCH29,OUT046,1617.5
FDU58,OUT013,3099.5
FDY27,OUT017,2788.5
FDV56,OUT035,1871.5
FDT59,OUT046,3820.0
FDB23,OUT046,3796.5
FDR49,OUT045,858.5
FDB03,OUT010,1812.0
FDN39,OUT045,2766.5
FDX02,OUT027,4860.0
FDQ16,OUT027,3064.0
FDU35,OUT018,1400.5
NCT29,OUT013,1934.0
FDZ27,OUT046,828.0
FDN57,OUT017,2313.0
FDA03,OUT018,2010.0
FDZ36,OUT045,2962.5
NCU05,OUT013,1302.0
FDT39,OUT018,2258.5
FDK60,OUT017,1574.5
FDZ25,OUT017,2806.5
FDG12,OUT046,2078.5
DRB01,OUT019,1396.0
NCC43,OUT027,5302.0
FDX13,OUT019,2100.5
FDM22,OUT049,1042.5
FDJ03,OUT027,2192.0
FDU14,OUT018,3600.5
FDB33,OUT010,663.5
FDP27,OUT046,3152.0
FDO38,OUT010,624.0
FDE28,OUT027,4999.5
FDO27,OUT035,1658.5
DRL23,OUT027,3099.5
FDS28,OUT046,952.5
FDX24,OUT013,1487.0
FDZ02,OUT035,1561.0
FDL46,OUT045,1947.5
FDS60,OUT027,4202.0
NCO06,OUT017,545.0
FDO16,OUT035,1339.5
FDC60,OUT049,1474.0
FDA48,OUT018,3151.0
FDZ36,OUT027,4358.5
FDK27,OUT045,2046.0
FDW23,OUT018,360.0
FDM14,OUT018,1569.5
FDM14,OUT013,1826.0
FDW60,OUT018,2555.0
FDE21,OUT013,1947.5
NCM42,OUT035,1758.0
FDY59,OUT010,435.5
DRI49,OUT049,1360.5
FDT28,OUT019,447.5
FDQ22,OUT018,463.5
FDR60,OUT049,1311.5
FDC50,OUT019,260.5
FDV24,OUT013,2389.0
DRF48,OUT010,1075.0
FDQ47,OUT046,778.0
DRN36,OUT049,1891.0
NCY06,OUT035,2037.0
FDE52,OUT035,1452.5
NCB54,OUT045,2026.5
NCF31,OUT035,2418.0
FDJ08,OUT027,4455.5
NCC07,OUT017,1691.0
NCD19,OUT027,2272.5
FDL46,OUT049,2030.5
FDM20,OUT045,3966.0
NCI06,OUT010,894.0
DRM11,OUT035,4071.5
NCH07,OUT018,2199.0
FDS23,OUT013,2140.5
FDO49,OUT018,784.5
FDS35,OUT049,1199.5
DRK39,OUT045,1313.0
DRI39,OUT049,962.0
FDV04,OUT017,2476.5
NCN14,OUT035,2855.0
FDH08,OUT013,3729.0
FDS20,OUT046,3028.5
FDV40,OUT049,1224.0
FDZ48,OUT010,205.0
FDS24,OUT027,2817.0
FDK44,OUT049,2871.5
FDS48,OUT045,2388.0
FDK26,OUT010,1140.5
FDD23,OUT045,3187.5
NCH54,OUT017,2596.5
NCP14,OUT010,267.0
FDM60,OUT010,1256.5
FDV24,OUT017,2392.0
FDH08,OUT018,3407.5
FDS12,OUT027,3383.0
FDR39,OUT027,4337.0
FDP12,OUT027,2030.5
DRF60,OUT027,5127.0
FDC09,OUT035,1773.0
FDF50,OUT018,3185.5
FDG28,OUT035,3823.5
NCE19,OUT017,908.0
NCM53,OUT010,230.0
NCN18,OUT049,1826.0
FDF32,OUT035,3224.0
FDF11,OUT013,3969.0
DRI59,OUT049,3587.5
NCG54,OUT035,2670.0
FDM44,OUT046,1766.0
FDT57,OUT018,3509.5
FDV24,OUT046,2432.0
FDI50,OUT019,1816.5
FDS09,OUT035,970.5
NCC31,OUT027,3831.0
FDQ07,OUT019,1655.5
FDC22,OUT017,3137.5
FDZ56,OUT046,2813.5
FDZ40,OUT019,1049.5
FDS46,OUT027,3391.5
DRD24,OUT045,2267.0
FDV45,OUT017,3070.5
FDL26,OUT045,2555.0
FDA56,OUT018,1771.5
FDN27,OUT046,2031.0
FDM20,OUT049,3989.5
FDO16,OUT017,1312.0
FDL03,OUT035,3222.5
FDE58,OUT046,1992.5
FDI02,OUT027,3291.5
NCC55,OUT019,1201.5
FDR03,OUT018,3092.5
FDB14,OUT017,1600.5
FDR45,OUT013,3921.5
NCN07,OUT017,2054.5
FDM51,OUT019,111.5
FDT52,OUT027,5215.0
FDL26,OUT046,2573.5
NCZ42,OUT046,3801.0
DRI47,OUT019,416.5
FDW40,OUT013,2206.5
FDN34,OUT046,2845.5
FDS01,OUT035,2923.0
NCG55,OUT045,1849.0
FDC11,OUT035,1559.0
FDX35,OUT018,3397.0
NCB06,OUT046,2568.0
FDR09,OUT019,2257.0
FDC53,OUT017,1527.5
FDY45,OUT013,4090.5
FDA22,OUT010,882.5
FDE02,OUT035,1621.0
FDW21,OUT045,1757.5
FDV34,OUT046,1370.5
FDS59,OUT049,1916.0
NCW17,OUT017,2035.5
NCK54,OUT046,1913.0
FDG17,OUT019,1926.5
FDG35,OUT017,2942.5
FDD08,OUT010,1206.0
NCO07,OUT017,3326.0
FDJ10,OUT010,457.5
FDW36,OUT017,1663.5
FDW21,OUT010,185.5
FDY19,OUT017,1970.5
DRE03,OUT013,743.5
NCC55,OUT049,685.5
FDH52,OUT010,917.5
FDO09,OUT017,4258.5
FDU43,OUT045,3877.0
FDX09,OUT010,902.5
FDH40,OUT019,580.5
FDW58,OUT017,1763.0
FDC47,OUT017,3647.5
NCR41,OUT035,1568.5
DRG49,OUT035,3878.0
FDC52,OUT027,3804.0
FDY13,OUT046,1356.0
FDY35,OUT013,858.5
